2023-09-22 17:20:21 T1:29.53, T2:22.66, T3:22.86, T4:22.79, T5:22.52, T6:22.52, T7:22.25, T8:22.18, T9:21.98, T10:22.15, T11:22.15, T12:22.08, T13:22.08, T14:nan, T15:31.10, F1:0.22, F2:0.22, F3:0.22, SR1:136.87, A:1110000.00, Circ pump counter: 0
2023-09-22 17:20:26 T1:29.56, T2:22.66, T3:22.86, T4:22.79, T5:22.56, T6:22.52, T7:22.29, T8:22.18, T9:21.98, T10:22.15, T11:22.15, T12:22.08, T13:22.08, T14:nan, T15:31.10, F1:0.22, F2:0.22, F3:0.22, SR1:132.61, A:1110000.00, Circ pump counter: 0
2023-09-22 17:20:32 T1:29.56, T2:22.72, T3:22.86, T4:22.79, T5:22.52, T6:22.52, T7:22.29, T8:22.15, T9:21.98, T10:22.18, T11:22.15, T12:22.08, T13:22.08, T14:nan, T15:31.10, F1:0.22, F2:0.22, F3:0.22, SR1:129.58, A:1110000.00, Circ pump counter: 0
2023-09-22 17:20:37 T1:29.53, T2:22.72, T3:22.86, T4:22.79, T5:22.56, T6:22.52, T7:22.29, T8:22.15, T9:21.98, T10:22.18, T11:22.15, T12:22.08, T13:22.08, T14:nan, T15:31.10, F1:0.22, F2:0.22, F3:0.22, SR1:127.22, A:1110000.00, Circ pump counter: 0
2023-09-22 17:20:43 T1:29.53, T2:22.69, T3:22.83, T4:22.79, T5:22.52, T6:22.52, T7:22.29, T8:22.15, T9:22.01, T10:22.18, T11:22.15, T12:22.08, T13:22.08, T14:21.20, T15:31.10, F1:0.22, F2:0.22, F3:0.22, SR1:124.53, A:1110000.00, Circ pump counter: 0
2023-09-22 17:20:48 T1:29.56, T2:22.76, T3:22.83, T4:22.76, T5:22.56, T6:22.52, T7:22.29, T8:22.18, T9:21.98, T10:22.18, T11:22.15, T12:22.08, T13:22.08, T14:8.40, T15:31.10, F1:0.22, F2:0.22, F3:0.22, SR1:124.21, A:1110000.00, Circ pump counter: 0
2023-09-22 17:20:54 T1:29.53, T2:22.72, T3:22.83, T4:22.79, T5:22.56, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.18, T11:22.15, T12:22.08, T13:22.12, T14:21.20, T15:31.10, F1:0.22, F2:0.22, F3:0.22, SR1:125.29, A:1110000.00, Circ pump counter: 0
2023-09-22 17:20:59 T1:29.56, T2:22.72, T3:22.83, T4:22.76, T5:22.56, T6:22.52, T7:22.29, T8:22.15, T9:21.98, T10:22.18, T11:22.15, T12:22.08, T13:22.08, T14:8.40, T15:31.10, F1:0.22, F2:0.22, F3:0.22, SR1:124.36, A:1110000.00, Circ pump counter: 0
2023-09-22 17:21:05 T1:29.56, T2:22.76, T3:22.83, T4:22.76, T5:22.56, T6:22.49, T7:22.29, T8:22.15, T9:22.01, T10:22.18, T11:22.15, T12:22.08, T13:22.08, T14:nan, T15:31.10, F1:0.22, F2:0.22, F3:0.22, SR1:123.36, A:1110000.00, Circ pump counter: 0
2023-09-22 17:21:10 T1:29.53, T2:22.79, T3:22.79, T4:22.72, T5:22.56, T6:22.52, T7:22.32, T8:22.15, T9:21.98, T10:22.18, T11:22.15, T12:22.08, T13:22.12, T14:21.20, T15:31.10, F1:0.22, F2:0.22, F3:0.22, SR1:118.34, A:1110000.00, Circ pump counter: 0
2023-09-22 17:21:16 T1:29.53, T2:22.79, T3:22.83, T4:22.72, T5:22.52, T6:22.52, T7:22.32, T8:22.15, T9:22.01, T10:22.18, T11:22.15, T12:22.08, T13:22.12, T14:nan, T15:31.10, F1:0.21, F2:0.22, F3:0.22, SR1:118.01, A:1110000.00, Circ pump counter: 0
2023-09-22 17:21:21 T1:29.56, T2:22.76, T3:22.79, T4:22.72, T5:22.56, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.12, T14:nan, T15:31.00, F1:0.22, F2:0.22, F3:0.22, SR1:124.21, A:1110000.00, Circ pump counter: 0
2023-09-22 17:21:27 T1:29.56, T2:22.76, T3:22.79, T4:22.72, T5:22.56, T6:22.52, T7:22.32, T8:22.18, T9:21.98, T10:22.18, T11:22.15, T12:22.12, T13:22.12, T14:8.40, T15:31.00, F1:0.22, F2:0.22, F3:0.22, SR1:126.22, A:1110000.00, Circ pump counter: 0
2023-09-22 17:21:32 T1:29.59, T2:22.79, T3:22.79, T4:22.72, T5:22.59, T6:22.52, T7:22.29, T8:22.15, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.08, T14:21.20, T15:31.00, F1:0.21, F2:0.22, F3:0.22, SR1:121.22, A:1110000.00, Circ pump counter: 0
2023-09-22 17:21:38 T1:29.53, T2:22.76, T3:22.79, T4:22.72, T5:22.56, T6:22.52, T7:22.32, T8:22.15, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.12, T14:8.40, T15:31.00, F1:0.22, F2:0.22, F3:0.22, SR1:116.30, A:1110000.00, Circ pump counter: 0
2023-09-22 17:21:43 T1:29.56, T2:22.79, T3:22.79, T4:22.72, T5:22.56, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.18, T11:22.15, T12:22.08, T13:22.12, T14:21.20, T15:31.00, F1:0.21, F2:0.22, F3:0.22, SR1:112.62, A:1110000.00, Circ pump counter: 0
2023-09-22 17:21:49 T1:29.56, T2:22.79, T3:22.79, T4:22.72, T5:22.56, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.18, T11:22.15, T12:22.08, T13:22.12, T14:nan, T15:30.90, F1:0.22, F2:0.22, F3:0.22, SR1:110.43, A:1110000.00, Circ pump counter: 0
2023-09-22 17:21:54 T1:29.56, T2:22.72, T3:22.76, T4:22.72, T5:22.52, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.18, T11:22.15, T12:22.08, T13:22.12, T14:nan, T15:31.00, F1:0.21, F2:0.22, F3:0.22, SR1:107.77, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:00 T1:29.56, T2:22.83, T3:22.76, T4:22.72, T5:22.52, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.22, T11:22.15, T12:22.12, T13:22.12, T14:nan, T15:30.90, F1:0.21, F2:0.21, F3:0.21, SR1:105.00, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:05 T1:29.56, T2:22.79, T3:22.76, T4:22.69, T5:22.52, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.18, T11:22.15, T12:22.08, T13:22.12, T14:8.40, T15:30.90, F1:0.21, F2:0.21, F3:0.21, SR1:107.23, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:11 T1:29.56, T2:22.79, T3:22.76, T4:22.69, T5:22.52, T6:22.52, T7:22.32, T8:22.15, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.12, T14:21.20, T15:30.80, F1:0.21, F2:0.21, F3:0.21, SR1:112.19, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:16 T1:29.56, T2:22.79, T3:22.79, T4:22.69, T5:22.52, T6:22.52, T7:22.29, T8:22.15, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.12, T14:nan, T15:30.80, F1:0.21, F2:0.22, F3:0.21, SR1:119.55, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:22 T1:29.59, T2:22.83, T3:22.79, T4:22.69, T5:22.52, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.18, T11:22.15, T12:22.08, T13:22.15, T14:nan, T15:30.80, F1:0.21, F2:0.21, F3:0.21, SR1:125.35, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:28 T1:29.59, T2:22.83, T3:22.76, T4:22.69, T5:22.52, T6:22.52, T7:22.29, T8:22.15, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.15, T14:nan, T15:30.80, F1:0.22, F2:0.21, F3:0.21, SR1:123.17, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:33 T1:29.63, T2:22.79, T3:22.76, T4:22.69, T5:22.52, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.22, T11:22.18, T12:22.12, T13:22.12, T14:nan, T15:30.80, F1:0.21, F2:0.21, F3:0.21, SR1:118.77, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:39 T1:29.59, T2:22.79, T3:22.76, T4:22.69, T5:22.52, T6:22.52, T7:22.29, T8:22.15, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.15, T14:21.30, T15:30.80, F1:0.21, F2:0.21, F3:0.21, SR1:114.77, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:44 T1:29.59, T2:22.86, T3:22.76, T4:22.72, T5:22.52, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.22, T11:22.15, T12:22.12, T13:22.12, T14:nan, T15:30.70, F1:0.21, F2:0.20, F3:0.21, SR1:112.56, A:1110000.00, Circ pump counter: 0
